,index,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed,county_average_poverty-rate,county_average_population,county_average_pct-white,county_average_pct-af-am,county_average_pct-hispanic,county_average_pct-am-ind,county_average_pct-asian,county_average_pct-nh-pi,county_average_pct-multiple,county_average_pct-other,county_average_median-household-income,county_average_median-gross-rent,county_average_eviction-filing-rate,county_average_eviction-filings,county_average_median-property-value,county_average_evictions_x,county_average_rent-burden,county_average_renter-occupied-households,county_average_pct-renter-occupied,county_average_evictions_y,county_average_eviction-rate,poverty-rate_above_1,poverty-rate_above_5,poverty-rate_above_10,poverty-rate_above_25,poverty-rate_above_50,poverty-rate_above_75,pct-white_above_1,pct-white_above_5,pct-white_above_10,pct-white_above_25,pct-white_above_50,pct-white_above_75,pct-af-am_above_1,pct-af-am_above_5,pct-af-am_above_10,pct-af-am_above_25,pct-af-am_above_50,pct-af-am_above_75,rent-burden_above_1,rent-burden_above_5,rent-burden_above_10,rent-burden_above_25,rent-burden_above_50,rent-burden_above_75,pct-renter-occupied_above_1,pct-renter-occupied_above_5,pct-renter-occupied_above_10,pct-renter-occupied_above_25,pct-renter-occupied_above_50,pct-renter-occupied_above_75,eviction-filing-rate_above_1,eviction-filing-rate_above_5,eviction-filing-rate_above_10,eviction-filing-rate_above_25,eviction-filing-rate_above_50,eviction-filing-rate_above_75,county_average_poverty-rate_above_1,county_average_poverty-rate_above_5,county_average_poverty-rate_above_10,county_average_poverty-rate_above_25,county_average_poverty-rate_above_50,county_average_poverty-rate_above_75,county_average_pct-white_above_1,county_average_pct-white_above_5,county_average_pct-white_above_10,county_average_pct-white_above_25,county_average_pct-white_above_50,county_average_pct-white_above_75,county_average_pct-af-am_above_1,county_average_pct-af-am_above_5,county_average_pct-af-am_above_10,county_average_pct-af-am_above_25,county_average_pct-af-am_above_50,county_average_pct-af-am_above_75,county_average_rent-burden_above_1,county_average_rent-burden_above_5,county_average_rent-burden_above_10,county_average_rent-burden_above_25,county_average_rent-burden_above_50,county_average_rent-burden_above_75,county_average_pct-renter-occupied_above_1,county_average_pct-renter-occupied_above_5,county_average_pct-renter-occupied_above_10,county_average_pct-renter-occupied_above_25,county_average_pct-renter-occupied_above_50,county_average_pct-renter-occupied_above_75,county_average_eviction-filing-rate_above_1,county_average_eviction-filing-rate_above_5,county_average_eviction-filing-rate_above_10,county_average_eviction-filing-rate_above_25,county_average_eviction-filing-rate_above_50,county_average_eviction-filing-rate_above_75,true_label,score,predicted_label
1434,24677,2677.99,24.48,746.0,66.09,362.0,21000.0,54500.0,22.5,59.86,34.06,3.25,0.34,0.19,0.0,2.32,0.0,377.0,118.0,15.82,50.55,0,0,0,18.288571428571426,3193.428571428571,57.08857142857143,38.17714285714286,2.38,0.2757142857142857,0.6285714285714284,0.04428571428571428,1.3342857142857145,0.07571428571428572,26789.838571428572,426.3514285714286,29.597142857142853,206.85714285714286,61224.24714285714,82.14285714285714,21.032857142857146,583.2857142857143,56.08857142857143,82.14285714285714,12.09142857142857,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
878,14936,8248.0,0.0,6.0,90.0,525.0,26250.0,0.0,22.5,83.84,4.06,2.35,0.05,7.61,0.07,1.92,0.1,2.0,2.0,34.48,34.48,0,0,0,20.452499999999997,5229.009999999999,89.351875,3.4962499999999994,1.5362499999999997,0.185,3.751875,0.030625000000000006,1.4900000000000002,0.15625,32991.744375,516.71875,9.287499999999998,52.0,117430.62562500002,24.9375,28.725624999999994,939.4375,46.585,24.9375,5.695624999999999,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1.0,0.9300699300699301,1
1647,28417,2280.0,14.25,280.0,34.89,623.0,34669.0,71100.0,26.5,4.17,94.47,0.53,0.26,0.13,0.0,0.44,0.0,162.0,54.0,19.26,57.77,0,0,0,21.553333333333338,2996.7193939393937,38.60712121212121,56.26045454545456,2.1413636363636366,0.23560606060606065,1.2806060606060603,0.035757575757575766,1.2703030303030305,0.1671212121212122,33340.490454545456,545.1992424242425,41.415151515151514,313.6363636363636,105883.77666666666,81.96969696969697,28.01590909090909,714.3181818181819,53.132424242424264,81.96969696969697,11.935,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1648,28434,2800.0,21.8,388.0,37.91,523.0,34009.0,63700.0,29.0,1.0,96.14,0.71,0.21,0.0,0.04,1.71,0.18,237.0,60.0,15.46,61.05,0,0,0,21.553333333333338,2996.7193939393937,38.60712121212121,56.26045454545456,2.1413636363636366,0.23560606060606065,1.2806060606060603,0.035757575757575766,1.2703030303030305,0.1671212121212122,33340.490454545456,545.1992424242425,41.415151515151514,313.6363636363636,105883.77666666666,81.96969696969697,28.01590909090909,714.3181818181819,53.132424242424264,81.96969696969697,11.935,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1649,28451,4475.0,23.08,600.0,35.11,557.0,27946.0,60900.0,34.6,1.63,96.56,0.89,0.27,0.02,0.04,0.47,0.11,264.0,103.0,17.16,43.99,0,0,0,21.553333333333338,2996.7193939393937,38.60712121212121,56.26045454545456,2.1413636363636366,0.23560606060606065,1.2806060606060603,0.035757575757575766,1.2703030303030305,0.1671212121212122,33340.490454545456,545.1992424242425,41.415151515151514,313.6363636363636,105883.77666666666,81.96969696969697,28.01590909090909,714.3181818181819,53.132424242424264,81.96969696969697,11.935,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1762,30372,3147.43,21.74,339.0,25.09,336.0,30826.0,69400.0,22.5,26.7,71.1,0.5,0.41,0.0,0.02,1.15,0.11,223.0,41.0,12.1,65.83,0,0,0,11.933214285714287,2274.175,57.17000000000001,39.496785714285714,1.1953571428571426,0.29500000000000004,0.752857142857143,0.021785714285714294,0.9692857142857144,0.0982142857142857,43129.09892857143,497.5,22.42464285714286,80.0,106939.29214285714,28.178571428571427,26.51071428571429,258.57142857142856,24.728571428571435,28.178571428571427,8.611785714285714,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0.0,0.9300699300699301,1
1650,28468,3190.87,28.82,524.0,47.37,510.93,23912.9,52999.67,32.2,2.07,96.36,0.88,0.06,0.03,0.0,0.5,0.09,240.0,87.0,16.6,45.78,0,0,0,21.553333333333338,2996.7193939393937,38.60712121212121,56.26045454545456,2.1413636363636366,0.23560606060606065,1.2806060606060603,0.035757575757575766,1.2703030303030305,0.1671212121212122,33340.490454545456,545.1992424242425,41.415151515151514,313.6363636363636,105883.77666666666,81.96969696969697,28.01590909090909,714.3181818181819,53.132424242424264,81.96969696969697,11.935,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1651,28485,2926.0,31.47,493.0,59.14,433.0,26183.0,64200.0,25.5,1.74,95.52,1.44,0.0,0.38,0.0,0.89,0.03,364.0,117.0,23.73,73.83,0,0,0,21.553333333333338,2996.7193939393937,38.60712121212121,56.26045454545456,2.1413636363636366,0.23560606060606065,1.2806060606060603,0.035757575757575766,1.2703030303030305,0.1671212121212122,33340.490454545456,545.1992424242425,41.415151515151514,313.6363636363636,105883.77666666666,81.96969696969697,28.01590909090909,714.3181818181819,53.132424242424264,81.96969696969697,11.935,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1.0,0.9300699300699301,1
1760,30338,4063.78,12.87,376.0,18.54,408.0,40644.0,118200.0,28.0,53.21,42.66,1.99,0.32,0.51,0.02,1.25,0.05,151.0,53.0,14.08,40.12,0,0,0,11.933214285714287,2274.175,57.17000000000001,39.496785714285714,1.1953571428571426,0.29500000000000004,0.752857142857143,0.021785714285714294,0.9692857142857144,0.0982142857142857,43129.09892857143,497.5,22.42464285714286,80.0,106939.29214285714,28.178571428571427,26.51071428571429,258.57142857142856,24.728571428571435,28.178571428571427,8.611785714285714,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0.0,0.9300699300699301,1
706,12012,3319.0,8.45,517.0,32.32,668.0,38155.0,102500.0,29.9,64.03,30.07,1.84,0.42,1.69,0.09,1.72,0.15,232.0,56.0,10.82,44.84,0,0,0,6.111406249999999,4098.521093750001,69.106875,23.009374999999995,2.4440624999999994,0.3462499999999999,3.6384374999999998,0.02765625000000001,1.2615625,0.16531249999999992,52976.9290625,726.51484375,8359.49109375,190.515625,129619.77890625,56.1875,23.618750000000006,623.21875,32.75062499999999,56.1875,1049.453125,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1.0,0.9300699300699301,1
